VWEHX	Bonds	Corporate - High Yield	Vanguard High-Yield Corporate Fund Investor Shares
VFITX	Bonds	Treasuries - Intermediate	Vanguard Intermediate-Term Treasury Fund Investor Shares
VFICX	Bonds	Coporate - Intermediate	Vanguard Intermediate-Term Investment-Grade Fund Investor Shares
VUSTX	Bonds	Treasuries - Long Term	Vanguard Long-Term Treasury Fund Investor Shares
VWESX	Bonds	Corporate - Long Term	Vanguard Long-Term Investment-Grade Fund Investor Shares
VFISX	Bonds	Treasuries - Short Term	Vanguard Short-Term Treasury Fund Investor Shares
VFSTX	Bonds	Corporate - Short Term	Vanguard Short-Term Investment-Grade Fund Investor Shares
VIPSX	Bonds	Treasuries - TIPS	Vanguard Inflation-Protected Securities Fund Investor Shares
VBMFX	Bonds	Total Market	Vanguard Total Bond Market Index Fund Investor Shares
HYG	Bonds	Corporate - High Yield	iShares iBoxx $ High Yield Corporate Bond ETF
VGIT	Bonds	Treasuries - Intermediate	Vanguard Intermediate-Term Treasury Index Fd ETF
BIV	Bonds	Coporate - Intermediate	Vanguard Intermediate-Term Bond Index Fund ETF
VGLT	Bonds	Treasuries - Long Term	Vanguard Long-Term Treasury Index Fund ETF
BLV	Bonds	Corporate - Long Term	Vanguard Long-Term Bond Index Fund ETF
VGSH	Bonds	Treasuries - Short Term	Vanguard Short-Term Treasury Index Fund ETF
BSV	Bonds	Corporate - Short Term	Vanguard Short-Term Bond Index Fund ETF
TIP	Bonds	Treasuries - TIPS	iShares TIPS Bond ETF
BND	Bonds	Total Market	Vanguard Total Bond Market Index Fund ETF
GSG	Commodities	Total Market	iShares S&P GSCI Commodity-Indexed Trust ETF
GLD	Commodities	Gold	SPDR Gold Trust
VTMGX	Equities	International - Developed Markets	Vanguard Developed Markets Index Fund Admiral Shares
VEIEX	Equities	International - Emerging Markets	Vanguard Emerging Markets Stock Index Fund Investor Shares
VEURX	Equities	International - European Markets	Vanguard European Stock Index Fund Investor Shares
VGTSX	Equities	International - Broad Ex-US	Vanguard Total International Stock Index Fund Investor Shares
VPACX	Equities	International - Pacific Markets	Vanguard Pacific Stock Index Fund Investor Shares
VEA	Equities	International - Developed Markets	Vanguard Developed Markets Index Fund ETF
VWO	Equities	International - Emerging Markets	Vanguard Emerging Markets Stock Index Fund ETF
VGK	Equities	International - European Markets	Vanguard European Stock Index Fund ETF
VXUS	Equities	International - Broad Ex-US	Vanguard Total International Stock Index Fund ETF
VPL	Equities	International - Pacific Markets	Vanguard FTSE Pacific Fund ETF
VGSIX	Real Estate	Total Market	Vanguard Real Estate Index Fund Investor Shares
VNQ	Real Estate	Total Market	Vanguard Real Estate Index Fund ETF
VFINX	Equities	US - Large Cap - Total Market	Vanguard 500 Index Fund Investor Shares
VIGRX	Equities	US - Large Cap - Growth	Vanguard Growth Index Fund Investor Shares
VIVAX	Equities	US - Large Cap - Value	Vanguard Value Index Fund Investor Shares
VTSMX	Equities	US - Total Market	Vanguard Total Stock Market Index Fund Investor Shares
BRSIX	Equities	US - Micro Cap	Bridgeway Ultra Small Company Market Fund
VIMSX	Equities	US - Mid Cap - Total Market	Vanguard Mid-Cap Index Fund Investor Shares
VMGIX	Equities	US - Mid Cap - Growth	Vanguard Mid-Cap Growth Index Fund Investor Shares
VMVIX	Equities	US - Mid Cap - Value	Vanguard Mid-Cap Value Index Fund Investor Shares
NAESX	Equities	US - Small Cap - Total Market	Vanguard Small Capitalization Index Fund Investor Shares
VISGX	Equities	US - Small Cap - Growth	Vanguard Small Capitalization Growth Index Fund Investor Shares
VISVX	Equities	US - Small Cap - Value	Vanguard Small Capitalization Value Index Fund Investor Shares
QQQ	Equities	US - Tech - Total Market	Invesco QQQ Trust Series 1
VOO	Equities	US - Large Cap - Total Market	Vanguard 500 Index Fund ETF
VUG	Equities	US - Large Cap - Growth	Vanguard Growth Index Fund ETF
VTV	Equities	US - Large Cap - Value	Vanguard Value Index Fund ETF
VTI	Equities	US - Total Market	Vanguard Total Stock Market Index Fund ETF
IWC	Equities	US - Micro Cap	iShares Micro-Cap ETF
VO	Equities	US - Mid Cap - Total Market	Vanguard Mid-Cap Index Fund ETF
VOT	Equities	US - Mid Cap - Growth	Vanguard Mid-Cap Growth Index Fund ETF
VOE	Equities	US - Mid Cap - Value	Vanguard Mid-Cap Value Index Fund ETF
VB	Equities	US - Small Cap - Total Market	Vanguard Small-Cap Index Fund ETF
VBK	Equities	US - Small Cap - Growth	Vanguard Small-Cap Growth Index Fund ETF
VBR	Equities	US - Small Cap - Value	Vanguard Small-Cap Value Index Fund ETF
BTC	Cryptocurrency	Bitcoin	Bitcoin
ETH	Cryptocurrency	Ethereum	Ethereum